"Menu","Numeration","Name (de)","Name (en)","Name (zh)","Description (de)","Description (en)","Description (zh)","Remarks","Price (€)","Type"
"Dumplings","C01","Black & White","Black & White","黑白配","Schweinfleisch, Shiitakepilzen, Spitzkohl, Ingwer, Lauchzwiebeln und Sezuan Pfeffer","Pork, shiitake mushrooms, ginger, pointed cabbage, spring onions and sezuan pepper","猪肉香菇白菜","","11.9","食物"
"Dumplings","C02","Tasty beef","onion beef","洋葱牛","rindfleisch Zwiebel Kreuzkümmel","beef onion cumin","洋葱牛","","11.90","食物"
"Dumplings","C03","Koreancheese ","Koreancheese ","郁郁葱葱","Vigetarian","Vigetarian","Vigetarian","","11.9","食物"
"Dumplings","C04","Ledu Special","Ledu Special","乐多经典","Schweinfleisch, Garlenen, Bambussprossen, Ingwer und Koriander","Pork, shrimps, bamboo shoots, ginger, coriander","猪肉虾仁","","11.9","食物"
"Dumplings","C05","Red Bull","Red Bull","红牛","Rinderhackfleisch, Karotten, Ingwer, Sellerie, Porree und Sezuan Pfeffer","Minced beef, carrots, ginger, celery, porro and sezuan pepper","Rinderhackfleisch, Karotten, Ingwer, Sellerie, Porree und Sezuan Pfeffer","","11.9","食物"
"Dumplings","C06","Mala New","Mala New","麻辣牛","Rinderhackfleisch, Zwiebeln, Porree, Chili, Ingwer un Sezuan Pfeffer","Minced beef, onions, chili, ginger, porro and sezuan pepper","辣牛肉","","11.9","食物"
"Dumplings","C07","Hot Chicken","Hot Chicken","劲爆鸡肉","Hühnerhackfleisch, Paprika, Chili, Ingwer und Thaibasilikum","Minced chicken, bell pepper, chili, ginger and thai basil","Hühnerhackfleisch, Paprika, Chili, Ingwer und Thaibasilikum","","11.9","食物"
"Dumplings","C08","Meet India","Meet India","遇见印度","Hühnerhackfleisch, Tomate, Erbsen und gelbes Thai-Curry","Minced chicken, tomato, peas and yellow thai-curry","Hühnerhackfleisch, Tomate, Erbsen und gelbes Thai-Curry","","11.90","食物"
"Dumplings","C09","Colorful Vegi","Colorful Vegi","多彩素素","Karotte, Spinat, Glasnudeln, Morcheln und unserer Gewürzmischung","carotts, spinach, rice noodles, morels and our special blend of spices","Karotte, Spinat, Glasnudeln, Morcheln und unserer Gewürzmischung","","11.9","食物"
"Dumplings","C10","Pure Vegan","Pure Vegan","纯粹素食","asiatische Broccoliblätter, dicke Glasnudeln, Shiitakepilzen und Sezuan Pfeffer","asian broccoli leaves, rice noodles, shiitake mushrooms and sezuan pepper","asiatische Broccoliblätter, dicke Glasnudeln, Shiitakepilzen und Sezuan Pfeffer","","11.9","食物"
"Dumplings","C11","10 Dumplings Bunte Mischung","10 Dumplings All Falvors Mixed","十粒蒸饺每种一粒","","one of each filling","","","11.9","食物"
"Dumplings","C12","10 individuelle ausgewählte Dumplings","10 individually selected dumplings","十粒蒸饺自由混搭","","","","","13.40","食物"
"Dumplings","Mischung 15","Bunte Mischung 15","Bunte Mischung 15","Bunte Mischung 15","[:]","[:]","[:]","","17","食物"
"Dumplings","C13","10 Dumplings vegetarische Mischung","10 Dumplings vegetarische Mischung","十粒素食蒸饺混搭","[:]","[:]","[:]","","12.9","食物"
"Salads und Desserts","E01","Glasnudel Salat","Rice Noodle Salad","粉丝蔬菜沙拉","mit Karotten, Morcheln, Zwiebeln dazu Reisessigdressing","with carrots, morels, onions and rice vinegar","mit Karotten, Morcheln, Zwiebeln dazu Reisessigdressing","","4.5","食物"
"Salads und Desserts","E03","Reisnudel Salat","Rice noodle Salad","米粉沙拉 Reisnudel Salat","mit Reisnudeln, Gurken, dazu scharfes Erdnuss-Dressing","with rice noodles, cucumber and hot peanut dressing","mit Reisnudeln, Gurken, dazu scharfes Erdnuss-Dressing","","4.5","食物"
"Salads und Desserts","E04","Gedaempfte Edamame","Steamed Edamame","日式毛豆","mit hausgemachter Gewürzmischung","with housemade seasoning","mit hausgemachter Gewürzmischung","","6.9","食物"
"Salads und Desserts","F01","Hefeknoedel Gefuellt mit Taro (Baozi)","Steamed Yeast Dumpling with Taro (Baozi)","香芋包","gedämpft, dazu Manago-Vanille-Sauce","with taro and mango vanilla sauce","gedämpft, dazu Manago-Vanille-Sauce","","4.5","食物"
"Salads und Desserts","F02","Klebreisknoedel Gefuellt mit Roten Bohnen und Bananen","Sticky Rice Ball Stuffed with Red Beans and Bananas","粽子","gedämpft, dazu rote Grütze","steamed, with fruit sauce","gedämpft, dazu rote Grütze","","4.9","食物"
"Salads und Desserts","F03","Eis","Icecreame","冰淇凌","eine Kugel","one scoop","eine Kugel","","2.9","食物"
"Salads und Desserts","F04","Mochi Gefuellt mit Mango und Matcha","Mochi Filled with Mango and Matcha","日式麻糬","3 Stück","3 Pieces","3 Stück","","4.5","食物"
"Salads und Desserts","E01","Menu Glasnudel Salat","Menu Rice Noodle Salad","套餐 粉丝蔬菜沙拉","mit Karotten, Morcheln, Zwiebeln dazu Reisessigdressing","with carrots, morels, onions and rice vinegar","mit Karotten, Morcheln, Zwiebeln dazu Reisessigdressing","","3.5","食物"
"Salads und Desserts","E02","Menu Saisonblatt Salat","Menu Season Salad","套餐 日式芥末沙拉","mit Kirschtomaten und Edamame, dazu Wasabi-Pflaumen-Dressing","with cherry tomatoes, edamame and wasabi plum dressing","e,f","","3.5","食物"
"Salads und Desserts","E03","Menu Reisnudel Salat","Menu Rice noodle Salad","套餐 米粉沙拉 reisnudel salat","mit Reisnudeln, Gurken, dazu scharfes Erdnuss-Dressing","with rice noodles, cucumber and hot peanut dressing","mit Reisnudeln, Gurken, dazu scharfes Erdnuss-Dressing","","3.5","食物"
"Salads und Desserts","F03","Eis","Icecreame","冰淇凌","eine Kugel","one scoop","eine Kugel","","2.9","食物"
"Soft Drink","","Mineralwasser","Mineral Water","矿泉水","Sprudelndes Mineralwasser","Sparkling mineral water","含气矿泉水","","2.5","饮料"
"Soft Drink","","Coca-Cola","Coca-Cola","可口可乐","Klassisches Erfrischungsgetränk","Classic refreshing beverage","经典碳酸饮料","","2.8","饮料"
"Soft Drink","","Mezzo Mix","Mezzo Mix","美索混合","Cola mit Orangengeschmack","Cola with orange flavor","橙味可乐","","2.8","饮料"
"Soft Drink","","Bio-Schorle","Bio-Schorle","有机果汁汽水","Bio Fruchtschorle","Organic fruit spritzer","有机果汁苏打水","","3","饮料"
"Soft Drink","","Bionade","Bionade","有机发酵汽水","Biologisch gebrautes Erfrischungsgetränk","Organically brewed refreshing drink","有机酿造饮料","","3","饮料"
"Soft Drink","","Bio-Lemonade","Bio-Lemonade","有机柠檬水","Natürliche Limonade aus Bio-Zutaten","Natural lemonade made from organic ingredients","有机成分制成的天然柠檬水","","3.3","饮料"
"Soft Drink","","Fuze Tea","Fuze Tea","富士茶","Erfrischender Eistee","Refreshing ice tea","清爽冰茶","","3.3","饮料"
"Soft Drink","","Aloe Vera","Aloe Vera","芦荟汁","Erfrischendes Getränk mit Aloe Vera","Refreshing drink with aloe vera","清凉芦荟饮料","","3.8","饮料"
"Soft Drink","","Ginger Beer (ohne Alkohol)","Ginger Beer (ohne Alkohol)","姜汁汽水（无酒精）","Scharfes Ingwergetränk ohne Alkohol","Spicy ginger drink without alcohol","辛辣姜味饮料（不含酒精）","","3.3","饮料"
"Soft Drink","","Fuze Tea","Fuze Tea","富士茶","Erfrischender Eistee","Refreshing ice tea","清爽冰茶","","3.3","饮料"
"Special Teas","","Grüner Tee","Grüner Tee ","绿茶","Feiner chinesischer Grüntee","Fine Chinese green tea","精选中国绿茶","","4.5","饮料"
"Special Teas","","Jasmin Perlen","Jasmin Perlen","茉莉花茶","Grüner Tee mit Jasminblüten aromatisiert","Green tea flavored with jasmine flowers","茉莉花香绿茶","","4.5","饮料"
"Special Teas","","Schwarz Tee ","Schwarze Tee ","红茶","Kräftiger schwarzer Tee","Strong black tea","浓郁红茶","","4.5","饮料"
"Special Teas","","Frischer Ingwer Honig","Frischer Ingwer Honig","姜蜂蜜茶","Frischer Ingwer mit Honig","Fresh ginger with honey","鲜姜加蜂蜜","","4.5","饮料"
"Bier & Wein","","Tegernseer Hell","Helles","德国淡色啤酒","Typisch bayerisches helles Bier","Typical Bavarian light beer","典型的巴伐利亚淡啤酒","","3.5","饮料"
"Bier & Wein","","Pils Warsteiner","Pils Warsteiner","瓦斯泰纳啤酒","Klassisches deutsches Pilsner","Classic German pilsner","经典德国皮尔森啤酒","","3.5","饮料"
"Bier & Wein","","Radler Warsteiner","Radler","混合啤酒","Bier gemischt mit Zitronenlimonade","Beer mixed with lemon soda","啤酒与柠檬汽水混合","","3.5","饮料"
"Bier & Wein","","Brewers Gold Warsteiner","Brewers Gold","金啤","Bier mit besonderem Hopfen gebraut","Beer brewed with special hops","特种啤酒花酿造啤酒","","3.5","饮料"
"Bier & Wein","","Pils alkoholfrei Warsteiner","Pils alkoholfrei","无酒精啤酒","Alkoholfreies Pilsner","Non-alcoholic pilsner","无酒精皮尔森啤酒","","3.5","饮料"
"Bier & Wein","","Tsingtao (Chinese Beer No.1)","Tsingtao (Chinese Beer No.1)","青岛","Berühmtes chinesisches Bier","Famous Chinese beer","中国著名啤酒","","3.5","饮料"
"Bier & Wein","","Asahi (Japanese Beer No.1)","Asahi (Japanese Beer No.1)","朝日啤酒（Asahi）","Berühmtes japanisches Bier","Famous Japanese beer","日本著名啤酒","","3.5","饮料"
"Bier & Wein","","Haus Rotwein","Haus Rotwein","红葡萄酒","Hauseigener Rotwein","House red wine","店家精选红酒","","5.9","饮料"
"Bier & Wein","","Haus Weisswein","Haus Weisswein","白葡萄酒","Hauseigener Weisswein","House white wine","店家精选白酒","","5.9","饮料"
"Gebraten Dumplings","D01","Black & White (Gebraten)","Black & White (Pan Fried)","黑白配 (煎饺) Black & White (Gebraten)","Schweinfleisch, Shiitakepilzen, Spitzkohl, Ingwer, Lauchzwiebeln und Sezuan Pfeffer","Pork, shiitake mushrooms, ginger, pointed cabbage, spring onions and sezuan pepper","猪肉香菇白菜","","7.9","食物"
"Gebraten Dumplings","D02","Tasty Beef (Gebraten)","Onion Beef (Pan Fried)","TB（煎饺）洋葱牛 (Gebraten)","rindfleisch Zwiebel Kreuzkümmel","onions beef cumin","洋葱牛","","7.9","食物"
"Gebraten Dumplings","D03","Kimchee Cheese (Gebraten)","Kimchee Cheese (Pan Fried)","郁郁葱葱（煎饺）Double Green (Gebraten)","Schweinfleisch, Chinesischem Bärlauch, Spitzkohl und Austernsauce","Pork, chinese ramson, pointed cabbage and oyster sauce","猪肉韭菜","","7.9","食物"
"Gebraten Dumplings","D04","Ledu Special (Gebraten)","Ledu Special (Pan Fried)","乐多经典（煎饺）Ledu Special (Gebraten)","Schweinfleisch, Garlenen, Bambussprossen, Ingwer und Koriander","Pork, Shrimps, bamboo shoots, ginger, coriander","猪肉虾仁","","7.9","食物"
"Gebraten Dumplings","D05","Red Bull (Gebraten)","Red Bull (Pan Fried)","红牛（煎饺）Red Bull (Gebraten)","Rinderhackfleisch, Karotten, Ingwer, Sellerie, Porree und Sezuan Pfeffer","Minced beef, carrots, ginger, celery, porro and sezuan pepper","胡萝卜牛肉","","7.9","食物"
"Gebraten Dumplings","D06","Mala New (Gebraten)","Mala New (Pan Fried)","麻辣牛（煎饺）Mala New (Gebraten)","Rinderhackfleisch, Zwiebeln, Porree, Chili, Ingwer un Sezuan Pfeffer","Minced beef, onions, chili, ginger, porro and sezuan pepper","麻辣牛肉","","7.9","食物"
"Gebraten Dumplings","D07","Hot Chicken (Gebraten)","Hot Chicken (Pan Fried)","劲爆鸡肉（煎饺）Hot Chicken (Gebraten)","Hühnerhackfleisch, Paprika, Chili, Ingwer und Thaibasilikum","Minced chicken, bell pepper, chili, ginger and thai basil","Hühnerhackfleisch, Paprika, Chili, Ingwer und Thaibasilikum","","7.9","食物"
"Gebraten Dumplings","D08","Meet India (Gebraten)","Meet India (Pan Fried)","遇见印度（煎饺）Meet India (Gebraten)","Hühnerhackfleisch, Tomate, Erbsen und gelbes Thai-Curry","Minced chicken, tomato, peas and yellow thai-curry","Hühnerhackfleisch, Tomate, Erbsen und gelbes Thai-Curry","","7.9","食物"
"Gebraten Dumplings","D09","Colorful Vegi (Gebraten)","Colorful Vegi (Pan Fried)","多彩素素（煎饺）Colorful Vegi (Gebraten)","Karotte, Spinat, Glasnudeln, Morcheln und unserer Gewürzmischung","carotts, spinach, rice noodles, morels and our special blend of spices","Karotte, Spinat, Glasnudeln, Morcheln und unserer Gewürzmischung","","7.9","食物"
